METERHEAD;R_MF_9A_6P;R_MF_6P_10;R_SA_9A_6P;R_SA_6P_10;R_SU_9A_6P;R_SU_6P_10;RATE_MISC;TIMEINEFFE;T_MF_9A_6P;T_MF_6P_10;T_SA_9A_6P;T_SA_6P_10;T_SU_9A_6P;T_SU_6P_10;TIME_MISC;CREDITCARD;PAY_PHONE;Geom;Geo Local Area;METERID
Twin;$5.00;$1.00;$5.00;$1.00;$5.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51384;"{""coordinates"": [-123.12772802448974, 49.2642829762882], ""type"": ""Point""}";Fairview;B81020
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53434;"{""coordinates"": [-123.11951995025571, 49.264987357773926], ""type"": ""Point""}";Fairview;B70642
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54921;"{""coordinates"": [-123.13796065553659, 49.26528020345645], ""type"": ""Point""}";Fairview;B71442
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54492;"{""coordinates"": [-123.13796085137841, 49.26539974949482], ""type"": ""Point""}";Fairview;B71443
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51620;"{""coordinates"": [-123.1746535970464, 49.264099057219745], ""type"": ""Point""}";Kitsilano;303114
Single;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;63125;"{""coordinates"": [-123.10750713937564, 49.28076795535235], ""type"": ""Point""}";Downtown;540506
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;63687;"{""coordinates"": [-123.10750881701264, 49.28065420075435], ""type"": ""Point""}";Downtown;540510
Twin;$1.00;$2.00;$1.00;$2.00;$1.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;65641;"{""coordinates"": [-123.12084928827247, 49.279305423217906], ""type"": ""Point""}";Downtown;600912
Twin;$2.00;$3.00;$2.00;$3.00;$2.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54903;"{""coordinates"": [-123.10115076355027, 49.2448767107493], ""type"": ""Point""}";Riley Park;514424
Twin;$2.00;$3.00;$2.00;$3.00;$2.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54959;"{""coordinates"": [-123.10116073010099, 49.244650714727484], ""type"": ""Point""}";Riley Park;514432
Twin;$2.00;$3.00;$2.00;$3.00;$2.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54987;"{""coordinates"": [-123.10143134504547, 49.24480720143684], ""type"": ""Point""}";Riley Park;514427
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;51245;"{""coordinates"": [-123.11505712786183, 49.254263936666966], ""type"": ""Point""}";Riley Park;563418
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50151;"{""coordinates"": [-123.11530786449961, 49.25432275831122], ""type"": ""Point""}";South Cambie;563417
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$ .75;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54331;"{""coordinates"": [-123.14283750426928, 49.267168838225246], ""type"": ""Point""}";Fairview;B51633
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$ .75;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52359;"{""coordinates"": [-123.14294770731732, 49.26706094840757], ""type"": ""Point""}";Fairview;B51642
Twin;$1.00;$2.00;$1.00;$2.00;$1.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51498;"{""coordinates"": [-123.06935671773029, 49.26573268317506], ""type"": ""Point""}";Grandview-Woodland;A51702
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51721;"{""coordinates"": [-123.2076400806424, 49.26388444263091], ""type"": ""Point""}";West Point Grey;D04431
