METERHEAD;R_MF_9A_6P;R_MF_6P_10;R_SA_9A_6P;R_SA_6P_10;R_SU_9A_6P;R_SU_6P_10;RATE_MISC;TIMEINEFFE;T_MF_9A_6P;T_MF_6P_10;T_SA_9A_6P;T_SA_6P_10;T_SU_9A_6P;T_SU_6P_10;TIME_MISC;CREDITCARD;PAY_PHONE;Geom;Geo Local Area;METERID
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50584;"{""coordinates"": [-123.14344688271457, 49.26438353678866], ""type"": ""Point""}";Fairview;902403
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;66072;"{""coordinates"": [-123.12523294533561, 49.28183011014365], ""type"": ""Point""}";West End;640903
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;66073;"{""coordinates"": [-123.12533781552285, 49.28176010390347], ""type"": ""Point""}";West End;640907
Single;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;66055;"{""coordinates"": [-123.12590142819074, 49.2813874505898], ""type"": ""Point""}";West End;640925
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;60163;"{""coordinates"": [-123.1248713052417, 49.28179909035332], ""type"": ""Point""}";Downtown;640914
Single;$5.00;$3.00;$5.00;$3.00;$5.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;66859;"{""coordinates"": [-123.1208487679332, 49.27357210772267], ""type"": ""Point""}";Downtown;160120
Single / Disability;$1.00;$4.00;$1.00;$4.00;$1.00;$4.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;50912;"{""coordinates"": [-123.06984529897021, 49.26476435219361], ""type"": ""Point""}";Grandview-Woodland;6C2207
Twin;$5.00;$3.00;$5.00;$3.00;$5.00;$3.00;$1.50;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;64606;"{""coordinates"": [-123.11039537662191, 49.282572282370815], ""type"": ""Point""}";Downtown;570407
Twin;$4.00;$3.00;$4.00;$3.00;$4.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;64401;"{""coordinates"": [-123.12206018008204, 49.28392577423909], ""type"": ""Point""}";West End;640709
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52746;"{""coordinates"": [-123.15388437961683, 49.2344735673167], ""type"": ""Point""}";Kerrisdale;K12036
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;54281;"{""coordinates"": [-123.1585008811758, 49.268306446343416], ""type"": ""Point""}";Kitsilano;B42317
Twin;$5.00;$5.00;$5.00;$5.00;$5.00;$5.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;63308;"{""coordinates"": [-123.12404929598569, 49.28401423740579], ""type"": ""Point""}";West End;121034
Twin;$4.00;$6.00;$4.00;$6.00;$4.00;$6.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;63330;"{""coordinates"": [-123.1255965974251, 49.285019080995326], ""type"": ""Point""}";West End;121108
Twin;$4.00;$6.00;$4.00;$6.00;$4.00;$6.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;64513;"{""coordinates"": [-123.12586490354587, 49.28519388910239], ""type"": ""Point""}";West End;121114
Twin;$4.00;$6.00;$4.00;$6.00;$4.00;$6.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;64522;"{""coordinates"": [-123.12519807348443, 49.28493571443157], ""type"": ""Point""}";West End;121109
Twin;$4.00;$6.00;$4.00;$6.00;$4.00;$6.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;61580;"{""coordinates"": [-123.1255797086327, 49.28518030185075], ""type"": ""Point""}";West End;121121
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54179;"{""coordinates"": [-123.15339374470238, 49.26189893885421], ""type"": ""Point""}";Kitsilano;D12102
Twin Bay Single;$4.00;$1.00;$4.00;$1.00;$4.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;4 Hr;4 Hr;4 Hr;4 Hr;;Yes;51791;"{""coordinates"": [-123.13833318205714, 49.25978548424087], ""type"": ""Point""}";Fairview;D31436
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;4 Hr;4 Hr;4 Hr;4 Hr;;Yes;59879;"{""coordinates"": [-123.13916339584165, 49.26177710661758], ""type"": ""Point""}";Fairview;D11505
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;50250;"{""coordinates"": [-123.17775913828962, 49.2644838945972], ""type"": ""Point""}";Kitsilano;0M2412
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50586;"{""coordinates"": [-123.16195693379368, 49.234747024957315], ""type"": ""Point""}";Arbutus-Ridge;K12411
Twin;$4.00;$1.00;$4.00;$1.00;$4.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51842;"{""coordinates"": [-123.11813446372574, 49.264127941538234], ""type"": ""Point""}";Fairview;B80612
Twin;$3.00;$1.00;$3.00;$1.00;$3.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52916;"{""coordinates"": [-123.13976929362084, 49.266259847275464], ""type"": ""Point""}";Fairview;B61519
Twin;$3.00;$1.00;$3.00;$1.00;$3.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52775;"{""coordinates"": [-123.14025209057701, 49.2662712708331], ""type"": ""Point""}";Fairview;B61527
Twin;$3.00;$1.00;$3.00;$1.00;$3.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52971;"{""coordinates"": [-123.14065469948704, 49.266278634233636], ""type"": ""Point""}";Fairview;B61535
Twin;$4.00;$1.00;$4.00;$1.00;$4.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;54593;"{""coordinates"": [-123.15763456182532, 49.23517616754681], ""type"": ""Point""}";Arbutus-Ridge;955612
Twin;$4.00;$1.00;$4.00;$1.00;$4.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;52954;"{""coordinates"": [-123.15845149798155, 49.234230971035004], ""type"": ""Point""}";Kerrisdale;955708
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50746;"{""coordinates"": [-123.11475836714581, 49.25579535514062], ""type"": ""Point""}";Riley Park;D70438
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51782;"{""coordinates"": [-123.11444386259136, 49.256962643672516], ""type"": ""Point""}";Mount Pleasant;D60437
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53611;"{""coordinates"": [-123.10088114581399, 49.26069928233865], ""type"": ""Point""}";Mount Pleasant;512710
Single;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;61288;"{""coordinates"": [-123.12297806641084, 49.278070423337454], ""type"": ""Point""}";Downtown;601023
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;64867;"{""coordinates"": [-123.12334578709766, 49.27782764715452], ""type"": ""Point""}";Downtown;601031
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50830;"{""coordinates"": [-123.10899775799463, 49.26301293508302], ""type"": ""Point""}";Mount Pleasant;300146
Twin;$3.00;$1.00;$3.00;$1.00;$3.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;53055;"{""coordinates"": [-123.14134959800414, 49.270652988592005], ""type"": ""Point""}";Fairview;B11607
Twin;$3.00;$1.00;$3.00;$1.00;$3.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;51859;"{""coordinates"": [-123.14247928534154, 49.27055517257917], ""type"": ""Point""}";Fairview;B11624
Twin;$3.00;$1.00;$3.00;$1.00;$3.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;51887;"{""coordinates"": [-123.14265401147141, 49.27055774550204], ""type"": ""Point""}";Fairview;B11628
Twin;$4.00;$3.00;$4.00;$3.00;$4.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52546;"{""coordinates"": [-123.14603494101368, 49.270731896632284], ""type"": ""Point""}";Kitsilano;B11807
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50457;"{""coordinates"": [-123.13992966505512, 49.26874026889613], ""type"": ""Point""}";Fairview;B31522
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;66135;"{""coordinates"": [-123.1240105621769, 49.27320086325108], ""type"": ""Point""}";Downtown;321306
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;66134;"{""coordinates"": [-123.12384806563952, 49.273243359913664], ""type"": ""Point""}";Downtown;321302
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;66179;"{""coordinates"": [-123.12534875971936, 49.272933134608486], ""type"": ""Point""}";Downtown;321340
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50326;"{""coordinates"": [-123.20646820144259, 49.26371185567754], ""type"": ""Point""}";West Point Grey;D04404
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;52737;"{""coordinates"": [-123.15897341188636, 49.26814832716751], ""type"": ""Point""}";Kitsilano;B42332
Twin;$5.00;$1.00;$5.00;$1.00;$5.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50587;"{""coordinates"": [-123.11865508717814, 49.2633709112042], ""type"": ""Point""}";Fairview;300617
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;53219;"{""coordinates"": [-123.11280640270154, 49.26734239494417], ""type"": ""Point""}";Mount Pleasant;792001
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;54577;"{""coordinates"": [-123.11281122184951, 49.26723142544552], ""type"": ""Point""}";Mount Pleasant;792005
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;50217;"{""coordinates"": [-123.11281122184951, 49.26723142544552], ""type"": ""Point""}";Mount Pleasant;792007
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54747;"{""coordinates"": [-123.21030639331565, 49.26377220835406], ""type"": ""Point""}";West Point Grey;D04522
Single;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53777;"{""coordinates"": [-123.21091545808456, 49.2637811457829], ""type"": ""Point""}";West Point Grey;D04534
Twin;$5.00;$6.00;$5.00;$6.00;$5.00;$6.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50157;"{""coordinates"": [-123.14944408611142, 49.26816545302915], ""type"": ""Point""}";Kitsilano;B41929
Twin;$5.00;$6.00;$5.00;$6.00;$5.00;$6.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52362;"{""coordinates"": [-123.14985396560996, 49.268171479664744], ""type"": ""Point""}";Kitsilano;B41937
Twin;$5.00;$6.00;$5.00;$6.00;$5.00;$6.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50215;"{""coordinates"": [-123.14921873253267, 49.26799111144607], ""type"": ""Point""}";Kitsilano;B41922
Twin;$5.00;$1.00;$5.00;$1.00;$5.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52743;"{""coordinates"": [-123.11899294118285, 49.26337623072931], ""type"": ""Point""}";Fairview;300625
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53264;"{""coordinates"": [-123.1334237550871, 49.263606621374485], ""type"": ""Point""}";Fairview;301243
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52495;"{""coordinates"": [-123.13168129250896, 49.26339938287385], ""type"": ""Point""}";Fairview;301204
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51493;"{""coordinates"": [-123.13202983045564, 49.26340574951624], ""type"": ""Point""}";Fairview;301212
Twin;$1.00;$4.00;$1.00;$4.00;$1.00;$4.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51575;"{""coordinates"": [-123.06959037014099, 49.26469493711841], ""type"": ""Point""}";Grandview-Woodland;6C2210
Twin;$3.00;$3.00;$3.00;$3.00;$3.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;65863;"{""coordinates"": [-123.1193141902342, 49.280321405101525], ""type"": ""Point""}";Downtown;600814
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50924;"{""coordinates"": [-123.10632477832813, 49.268258981366074], ""type"": ""Point""}";Mount Pleasant;B30032
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;61269;"{""coordinates"": [-123.12619339313613, 49.28865341520391], ""type"": ""Point""}";Downtown;670607
Twin;$3.00;$3.00;$3.00;$3.00;$3.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;65326;"{""coordinates"": [-123.11974166099668, 49.280039953474514], ""type"": ""Point""}";Downtown;600826
Twin;$2.00;$4.00;$2.00;$4.00;$2.00;$4.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51722;"{""coordinates"": [-123.15542564329157, 49.271654544091255], ""type"": ""Point""}";Kitsilano;982206
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54584;"{""coordinates"": [-123.14155552538487, 49.2645041564358], ""type"": ""Point""}";Fairview;B81606
Single;$4.00;$1.00;$4.00;$1.00;$4.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54307;"{""coordinates"": [-123.10791776294424, 49.26660058864532], ""type"": ""Point""}";Mount Pleasant;B50121
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50824;"{""coordinates"": [-123.20484189625978, 49.26368632553366], ""type"": ""Point""}";West Point Grey;D04338
Twin;$4.00;$1.00;$4.00;$1.00;$4.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51380;"{""coordinates"": [-123.13463291830384, 49.26439242525586], ""type"": ""Point""}";Fairview;B81318
Single;$6.00;$1.00;$6.00;$1.00;$6.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51884;"{""coordinates"": [-123.1236397470219, 49.26421959960442], ""type"": ""Point""}";Fairview;B80832
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51528;"{""coordinates"": [-123.17049635921627, 49.264028276593734], ""type"": ""Point""}";Kitsilano;302908
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;61871;"{""coordinates"": [-123.1278937558354, 49.289634222834444], ""type"": ""Point""}";Downtown;081406
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51486;"{""coordinates"": [-123.20484189625978, 49.26368632553366], ""type"": ""Point""}";West Point Grey;D04340
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51458;"{""coordinates"": [-123.2052851095546, 49.26369372455253], ""type"": ""Point""}";West Point Grey;D04348
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53387;"{""coordinates"": [-123.20662649328344, 49.26386856614048], ""type"": ""Point""}";West Point Grey;D04407
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50252;"{""coordinates"": [-123.20679443643817, 49.26387104519832], ""type"": ""Point""}";West Point Grey;D04411
Single Motorbike;$5.00;$2.00;$5.00;$2.00;$5.00;$2.00;$5.00;METER IN EFFECT: 9:00 AM TO 10:00 PM;No Time Limit;No Time Limit;No Time Limit;No Time Limit;No Time Limit;No Time Limit;No Time Limit;No;61992;"{""coordinates"": [-123.12097676018867, 49.28597374727526], ""type"": ""Point""}";Downtown;101098
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54952;"{""coordinates"": [-123.13764603494236, 49.264441775776994], ""type"": ""Point""}";Fairview;B81428
Twin;$3.00;$1.00;$3.00;$1.00;$3.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54138;"{""coordinates"": [-123.14331547702652, 49.26338514188232], ""type"": ""Point""}";Fairview;902506
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51177;"{""coordinates"": [-123.14819819697065, 49.26410741416102], ""type"": ""Point""}";Kitsilano;912413
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52701;"{""coordinates"": [-123.15599224429029, 49.23640801184561], ""type"": ""Point""}";Arbutus-Ridge;H92106
Twin;$3.00;$1.00;$3.00;$1.00;$3.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53566;"{""coordinates"": [-123.15582216621296, 49.23561781061508], ""type"": ""Point""}";Arbutus-Ridge;K02103
Single;$3.00;$1.00;$3.00;$1.00;$3.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53650;"{""coordinates"": [-123.15573386182197, 49.23549423597293], ""type"": ""Point""}";Arbutus-Ridge;K02102
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54699;"{""coordinates"": [-123.1607609351604, 49.23458422626698], ""type"": ""Point""}";Kerrisdale;K12314
Twin;$4.00;$6.00;$4.00;$6.00;$4.00;$6.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;61560;"{""coordinates"": [-123.12635670655266, 49.28568827577038], ""type"": ""Point""}";West End;121147
Twin;$2.00;$4.00;$2.00;$4.00;$2.00;$4.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;62998;"{""coordinates"": [-123.12770616258773, 49.28639019673637], ""type"": ""Point""}";West End;121216
Twin;$4.00;$2.00;$4.00;$2.00;$4.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;63503;"{""coordinates"": [-123.12814449908133, 49.27963416289274], ""type"": ""Point""}";Downtown;641116
Twin;$4.00;$2.00;$4.00;$2.00;$4.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;64771;"{""coordinates"": [-123.12814449908133, 49.27963416289274], ""type"": ""Point""}";Downtown;641118
Twin;$7.00;$1.00;$7.00;$1.00;$7.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52381;"{""coordinates"": [-123.1240941888275, 49.26374182677309], ""type"": ""Point""}";Fairview;832414
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51534;"{""coordinates"": [-123.06959505026984, 49.2764364417156], ""type"": ""Point""}";Grandview-Woodland;6C0901
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52057;"{""coordinates"": [-123.06960428519254, 49.27596472865283], ""type"": ""Point""}";Grandview-Woodland;6C0919
Twin;$2.00;$3.00;$2.00;$3.00;$2.00;$3.00;$1.00;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52358;"{""coordinates"": [-123.06977605446313, 49.26812906667327], ""type"": ""Point""}";Grandview-Woodland;6C1819
